1,1.028,1.0052,1.0166
2,1.0342,1.0215,1.02785
3,1.04,1.0285,1.03425
4,1.0412,1.0276,1.0344
5,1.033,1.0256,1.0293
6,1.03,1.0205,1.02525
7,1.0337,1.0245,1.0291
8,1.032,1.0263,1.02915
9,1.0315,1.0237,1.0276
10,1.0223,1.0112,1.01675
11,1.0145,1.0075,1.011
12,1.014,1.0075,1.01075
13,1.0127,1.0086,1.01065
14,1.0186,1.0075,1.01305
15,1.019,1.0048,1.0119
16,1.007,1.0001,1.00355
17,1.0095,0.999,1.00425
18,1.0055,0.9995,1.0025
19,1.003,0.9869,0.99495
20,0.989,0.9738,0.9814
21,0.9825,0.9667,0.9746
22,0.9779,0.9665,0.9722
23,0.98,0.969,0.9745
24,0.9947,0.9715,0.9831
25,0.994,0.9751,0.98455
26,0.983,0.9755,0.97925
27,0.9915,0.9785,0.985
28,0.9967,0.985,0.99085
29,0.996,0.9832,0.9896
30,0.9879,0.979,0.98345
31,0.9915,0.9777,0.9846
32,0.9861,0.9765,0.9813
33,0.987,0.979,0.983
34,0.9955,0.9837,0.9896
35,0.99,0.9811,0.98555
36,0.989,0.9845,0.98675
37,1.0081,0.987,0.99755
38,1.009,1.0011,1.00505
39,1.004,0.9888,0.9964
40,0.9925,0.9725,0.9825
41,0.9745,0.939,0.95675
42,0.987,0.9645,0.97575
43,0.9767,0.9625,0.9696
44,0.9795,0.9612,0.97035
45,0.968,0.9591,0.96355
46,0.967,0.956,0.9615
47,0.9625,0.9528,0.95765
48,0.9632,0.9522,0.9577
49,0.9698,0.9595,0.96465
50,0.9685,0.9599,0.9642
51,0.973,0.9615,0.96725
52,0.9683,0.9592,0.96375
53,0.9712,0.964,0.9676
54,0.974,0.9645,0.96925
55,0.9731,0.9658,0.96945
56,0.9745,0.9685,0.9715
57,0.9735,0.9632,0.96835
58,0.963,0.9579,0.96045
59,0.9732,0.96,0.9666
60,0.9773,0.9674,0.97235
61,0.979,0.9633,0.97115
62,0.9699,0.9598,0.96485
63,0.96,0.9477,0.95385
64,0.9624,0.9512,0.9568
65,0.963,0.953,0.958
66,0.9604,0.95,0.9552
67,0.9756,0.9516,0.9636
68,0.971,0.9595,0.96525
69,0.9645,0.9567,0.9606
70,0.9615,0.9537,0.9576
71,0.9627,0.9535,0.9581
72,0.9646,0.9564,0.9605
73,0.96,0.952,0.956
74,0.9595,0.9513,0.9554
75,0.962,0.951,0.9565
76,0.967,0.9522,0.9596
77,0.9525,0.9426,0.94755
78,0.949,0.936,0.9425
79,0.9425,0.9358,0.93915
80,0.9397,0.9366,0.93815
81,0.9449,0.9365,0.9407
82,0.9395,0.9163,0.9279
83,0.925,0.9175,0.92125
84,0.9249,0.906,0.91545
85,0.9136,0.903,0.9083
86,0.9171,0.9071,0.9121
87,0.9172,0.9033,0.91025
88,0.9106,0.8886,0.8996
89,0.897,0.8845,0.89075
90,0.9011,0.8905,0.8958
91,0.9045,0.8919,0.8982
92,0.908,0.8945,0.90125
93,0.9128,0.905,0.9089
94,0.9107,0.8992,0.90495
95,0.9199,0.898,0.90895
96,0.919,0.9122,0.9156
97,0.9105,0.9024,0.90645
98,0.903,0.889,0.896
99,0.896,0.8905,0.89325
100,0.9002,0.8845,0.89235
101,0.9074,0.8955,0.90145
102,0.9155,0.9017,0.9086
103,0.9126,0.903,0.9078
104,0.913,0.898,0.9055
105,0.934,0.911,0.9225
106,0.9335,0.924,0.92875
107,0.941,0.9245,0.93275
108,0.9375,0.928,0.93275
109,0.938,0.9283,0.93315
110,0.9504,0.9297,0.94005
111,0.949,0.9413,0.94515
112,0.96,0.945,0.9525
113,0.9627,0.953,0.95785
114,0.9702,0.9513,0.96075
115,0.957,0.946,0.9515
116,0.956,0.949,0.9525
117,0.9626,0.952,0.9573
118,0.9655,0.9575,0.9615
119,0.9605,0.95,0.95525
120,0.9657,0.9485,0.9571
121,0.9695,0.9576,0.96355
122,0.962,0.9536,0.9578
123,0.9545,0.9431,0.9488
124,0.9475,0.9345,0.941
125,0.9529,0.934,0.94345
126,0.9396,0.9295,0.93455
127,0.9468,0.9355,0.94115
128,0.947,0.9399,0.94345
129,0.9536,0.9415,0.94755
130,0.9602,0.9505,0.95535
131,0.9545,0.948,0.95125
132,0.9521,0.946,0.94905
133,0.9572,0.9505,0.95385
134,0.9595,0.9495,0.9545
135,0.9527,0.9458,0.94925
136,0.9549,0.9475,0.9512
137,0.9565,0.9492,0.95285
138,0.9525,0.9392,0.94585
139,0.9425,0.9329,0.9377
140,0.939,0.9317,0.93535
141,0.94,0.934,0.937
142,0.9365,0.923,0.92975
143,0.926,0.9193,0.92265
144,0.9333,0.92,0.92665
145,0.9381,0.931,0.93455
146,0.9375,0.931,0.93425
147,0.9428,0.932,0.9374
148,0.945,0.938,0.9415
149,0.944,0.9316,0.9378
150,0.9335,0.9225,0.928
151,0.9294,0.922,0.9257
152,0.9285,0.914,0.92125
153,0.919,0.9113,0.91515
154,0.918,0.8997,0.90885
155,0.91,0.9014,0.9057
156,0.9112,0.905,0.9081
157,0.909,0.8987,0.90385
158,0.9034,0.8963,0.89985
159,0.9097,0.9005,0.9051
160,0.914,0.9023,0.90815
161,0.9068,0.9001,0.90345
162,0.914,0.9055,0.90975
163,0.9175,0.9065,0.912
164,0.9176,0.9117,0.91465
165,0.9185,0.9062,0.91235
166,0.9075,0.9009,0.9042
167,0.9035,0.8949,0.8992
168,0.9004,0.891,0.8957
169,0.9051,0.8995,0.9023
170,0.9072,0.8975,0.90235
171,0.9045,0.8986,0.90155
172,0.902,0.8914,0.8967
173,0.894,0.887,0.8905
174,0.897,0.8838,0.8904
175,0.9018,0.8875,0.89465
176,0.904,0.8965,0.90025
